[2023-10-17 12:22:18] local.INFO: {"code":111,"message":"Invalid transaction class (sale)","trace":"PMNT0706.652E7C79.00002DDD","success":false,"payment_url":null}  
[2023-10-17 12:24:23] local.INFO: {"code":111,"message":"Invalid transaction class (YourSecondArgumentHere)","trace":"PMNT0705.652E7CF7.00002DE9","success":false,"payment_url":null}  
[2023-10-17 12:25:15] local.INFO: {"code":111,"message":"Invalid transaction class (all)","trace":"PMNT0705.652E7D2B.00002DEA","success":false,"payment_url":null}  
[2023-10-17 12:25:28] local.INFO: {"code":110,"message":"Invalid transaction type (all)","trace":"PMNT0706.652E7D38.00002DDF","success":false,"payment_url":null}  
[2023-10-17 12:25:46] local.INFO: {"code":110,"message":"Invalid transaction type (all)","trace":"PMNT0705.652E7D4A.00002DEB","success":false,"payment_url":null}  
[2023-10-17 12:37:03] local.INFO: {"code":110,"message":"Invalid transaction type (all)","trace":"PMNT0706.652E7FEF.00002DF0","success":false,"payment_url":null}  
[2023-10-18 03:11:28] local.INFO: {"code":110,"message":"Invalid transaction type (all)","trace":"PMNT0706.652F4CE0.00000040","success":false,"payment_url":null}  
[2023-10-18 03:12:34] local.INFO: {"code":111,"message":"Invalid transaction class (invoice)","trace":"PMNT0705.652F4D22.00000043","success":false,"payment_url":null}  
[2023-10-18 03:12:47] local.INFO: {"code":111,"message":"Invalid transaction class (purchase)","trace":"PMNT0706.652F4D2F.00000043","success":false,"payment_url":null}  
[2023-10-18 03:12:51] local.INFO: {"code":111,"message":"Invalid transaction class (purchase)","trace":"PMNT0705.652F4D33.00000044","success":false,"payment_url":null}  
[2023-10-18 03:16:37] local.INFO: {"code":422,"message":"Unable to process your request","trace":"PMNT0706.652F4E15.00000044","success":false,"payment_url":null}  
[2023-10-18 03:16:54] local.INFO: {"code":422,"message":"Unable to process your request","trace":"PMNT0705.652F4E26.00000045","success":false,"payment_url":null}  
[2023-10-18 03:17:43] local.INFO: {"code":422,"message":"Unable to process your request","trace":"PMNT0706.652F4E57.00000045","success":false,"payment_url":null}  
[2023-10-18 03:27:51] local.INFO: {"code":111,"message":"Invalid transaction class (one_time)","trace":"PMNT0705.652F50B7.00000047","success":false,"payment_url":null}  
[2023-10-18 03:29:09] local.INFO: {"code":111,"message":"Invalid transaction class (one_time)","trace":"PMNT0706.652F5105.00000047","success":false,"payment_url":null}  
[2023-10-18 03:31:06] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0705.652F517A.00000049","success":false,"payment_url":null}  
[2023-10-18 03:32:46] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0706.652F51DE.00000049","success":false,"payment_url":null}  
[2023-10-18 03:32:53] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0705.652F51E5.0000004A","success":false,"payment_url":null}  
[2023-10-18 03:45:09] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0705.652F54C5.00000092","success":false,"payment_url":null}  
[2023-10-25 10:17:22] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0705.6538EB31.00000311","success":false,"payment_url":null}  
[2023-11-06 03:27:20] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0705.65485D18.00002272","success":false,"payment_url":null}  
[2023-11-06 03:50:39] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0706.6548628F.00002266","success":false,"payment_url":null}  
[2023-11-06 03:51:14] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0705.654862B2.00002275","success":false,"payment_url":null}  
[2023-12-18 10:21:42] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0706.65801D36.00001E73","success":false,"payment_url":null}  
[2023-12-18 10:21:49] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0706.65801D3D.00001E74","success":false,"payment_url":null}  
[2023-12-19 05:43:46] local.INFO: {"code":206,"message":"Invalid currency code","trace":"PMNT0706.65812D92.0000211F","success":false,"payment_url":null}  
[2024-09-12 10:55:32] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0705.66E2C8A2.000003AB","success":false}  
[2024-09-25 09:20:43] local.INFO: {"code":206,"message":"Currency not available","trace":"PMNT0706.66F3D5EA.0000018A","success":false}  
